TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SMTO3;28,39;3,99;7,41;1,84;0,56;38,37;38,94;21,55;4,1;7,13;3,03;1,36;1,6;3,64;-0,83;1,87;24,88;7,51;14,39;0,3;0,7;0,35;16,99;36,73;63267193,27;15,4;3,83;0,24;10050381630
SNSY3;3,85;;-0,17;-0,02;0,06;17,38;-2,53;-20,78;-1,43;-9,6;-5,85;;0,04;-0,69;-0,16;0,86;-10,62;-36,9;1,41;-3,48;4,51;1,78;16,09;;4063,12;-208,35;-22,12;0;77662530,4
SNSY5;3,01;;-0,14;-0,01;0,05;17,38;-2,53;-20,78;-1,12;-9,6;-5,85;;0,03;-0,54;-0,12;0,86;-10,62;-36,9;1,41;-3,48;4,51;1,78;16,09;;4515,46;-208,35;-22,12;0;77662530,4
SNSY6;13,33;;-0,6;-0,06;0,22;17,38;-2,53;-20,78;-4,96;-9,6;-5,85;;0,13;-2,38;-0,54;0,86;-10,62;-36,9;1,41;-3,48;4,51;1,78;16,09;;;-208,35;-22,12;-0,01;77662530,4
SOJA3;11,21;0,97;11,15;1,79;0,78;10,12;8,27;7,93;10,7;11,22;0,52;0,09;0,88;3,02;-2,7;1,58;16,08;7,03;9,42;0,44;0,52;0,89;;;2146238,1;6,25;1,01;-0,85;1313143054
SOMA3;8,61;1,05;21,96;0,91;0,65;55,8;7,85;6,5;18,19;20,79;2,6;0,13;1,43;4,4;-0,92;1,98;4,15;2,96;3,62;0,71;0,29;0,45;;;75564632,77;9,45;0,39;5;6756674882
SOND3;46,01;13,11;6,9;1,95;1,25;38,27;15,46;13,58;6,06;3,18;-1,6;-0,52;0,94;3,97;-2,91;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;;23,56;6,67;0,04;89283745
SOND5;31,15;21,3;4,67;1,32;0,84;38,27;15,46;13,58;4,1;3,18;-1,6;-0,52;0,63;2,69;-1,97;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;9345;23,56;6,67;0,03;89283745
SOND6;32,35;20,51;4,85;1,37;0,88;38,27;15,46;13,58;4,26;3,18;-1,6;-0,52;0,66;2,79;-2,05;2,21;28,31;18,06;18,11;0,64;0,36;1,33;-0,97;;3235;23,56;6,67;0,03;89283745
SPRT3B;76,4;;-246,67;-93,02;32019,68;;;;-283,23;-283,23;0;;;-92,75;-32307,24;0;-37,71;-12980,73;32,84;-344,22;345,22;0;;;;-0,82;-0,31;-2,63;370531748,8
