IBOV - Carteira do Dia 19/06/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CSNA3;SID NACIONAL;ON;589.695.175;0,382;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,186;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,695;
TAEE11;TAESA;UNT     N2;218.568.234;0,395;
VIVT3;TELEF BRASIL;ON;423.091.712;0,879;
TIMS3;TIM;ON      NM;808.436.195;0,582;
TOTS3;TOTVS;ON      NM;513.869.896;0,741;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,927;
USIM5;USIMINAS;PNA     N1;515.014.562;0,184;
VALE3;VALE;ON      NM;4.035.078.991;13,575;
VIIA3;VIA;ON      NM;1.576.975.642;0,194;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,948;
WEGE3;WEG;ON      NM;1.260.665.218;2,304;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,266;
Quantidade Teórica Total;;;95.838.159.161;100,000
Redutor;;;17.437.652,65351659
